path	line	enum	variant	field_count	named_count	unnamed_count
tests/regression/dap/fixtures/exception.xr	3	DapErr	Test	1	0	1
tests/unit/fixtures/assertion/deep_equality_vm.xr	2	Choice	Value	1	0	1
tests/vm/sys_process_lifecycle_control_flow_ok.xr	4	ProcessLintErr	Msg	1	1	0
tests/vm/sys_process_lifecycle_multipath_alias_merge_warning.xr	5	ProcessAliasMergeErr	Msg	1	1	0
tests/vm/sys_process_lifecycle_try_catch_warning.xr	4	ProcessLintWarningErr	Msg	1	1	0
tests/vm/sys_thread_lifecycle_multipath_alias_merge_warning.xr	4	ThreadAliasMergeErr	Msg	1	1	0
tests/vm/sys_thread_try_catch_both_close.xr	4	ThreadLintErr	Msg	1	1	0
tests/vm/sys_thread_try_catch_warning.xr	4	ThreadLintErr	Msg	1	1	0
tests/work_stealing/01_basic_stealing.xr	10	WsErr	Failed	1	0	1
tests/work_stealing/02_fairness_test.xr	10	WsErr	Failed	1	0	1
tests/work_stealing/03_burst_workload.xr	10	WsErr	Failed	1	0	1
tests/work_stealing/04_mixed_workload.xr	10	WsErr	Failed	1	0	1
tests/work_stealing/06_chain_spawn.xr	10	WsErr	Failed	1	0	1
