path	line	enum	variant	role	declaration_path	declaration_line	resolution
tests/diff/cases/semantics/oop/generic_instance_in_declared_member_types.xr	52	Shape	Point	pattern-direct	tests/diff/cases/semantics/oop/generic_instance_in_declared_member_types.xr	45	same-module
tests/diff/cases/semantics/oop/generic_instance_in_declared_member_types.xr	79	Expr	Num	pattern-direct	tests/diff/cases/semantics/oop/generic_instance_in_declared_member_types.xr	72	same-module
tests/diff/cases/semantics/oop/generic_instance_in_declared_member_types.xr	80	Expr	Add	pattern-direct	tests/diff/cases/semantics/oop/generic_instance_in_declared_member_types.xr	73	same-module
tests/diff/cases/semantics/oop/generic_instance_in_declared_member_types.xr	81	Expr	Mul	pattern-direct	tests/diff/cases/semantics/oop/generic_instance_in_declared_member_types.xr	74	same-module
tests/diff/cases/semantics/stdlib/base64_property_direct.xr	56	Base64Error	InvalidLength	pattern-direct	stdlib/base64/base64.xr	18	import->module-export
tests/diff/cases/semantics/stdlib/base64_property_direct.xr	57	Base64Error	InvalidByte	pattern-direct	stdlib/base64/base64.xr	19	import->module-export
tests/diff/cases/semantics/stdlib/base64_property_direct.xr	58	Base64Error	InvalidPadding	pattern-direct	stdlib/base64/base64.xr	20	import->module-export
tests/diff/cases/semantics/stdlib/base64_property_direct.xr	59	Base64Error	NonCanonicalTrailingBits	pattern-direct	stdlib/base64/base64.xr	21	import->module-export
tests/diff/cases/semantics/stdlib/cluster_protocol_pure_direct.xr	33	AddressError	MissingPort	pattern-direct	stdlib/cluster/cluster.xr	116	import->module-export
tests/diff/cases/semantics/stdlib/cluster_protocol_pure_direct.xr	34	AddressError	InvalidHost	pattern-direct	stdlib/cluster/cluster.xr	117	import->module-export
tests/diff/cases/semantics/stdlib/cluster_protocol_pure_direct.xr	35	AddressError	InvalidPort	pattern-direct	stdlib/cluster/cluster.xr	118	import->module-export
tests/diff/cases/semantics/stdlib/csv_pure_module_direct.xr	34	CsvError	FieldCountMismatch	pattern-direct	stdlib/csv/csv.xr	51	import->module-export
tests/diff/cases/semantics/stdlib/csv_pure_module_direct.xr	72	CsvError	ColumnLimitExceeded	pattern-direct	stdlib/csv/csv.xr	48	import->module-export
tests/diff/cases/semantics/stdlib/encoding_property_direct.xr	50	HexError	OddLength	pattern-direct	stdlib/encoding/encoding.xr	12	import->module-export
tests/diff/cases/semantics/stdlib/encoding_property_direct.xr	51	HexError	InvalidDigit	pattern-direct	stdlib/encoding/encoding.xr	13	import->module-export
tests/diff/cases/semantics/stdlib/encoding_property_direct.xr	62	Utf16Error	OddByteLength	pattern-direct	stdlib/encoding/encoding.xr	127	import->module-export
tests/diff/cases/semantics/stdlib/encoding_property_direct.xr	63	Utf16Error	UnexpectedLowSurrogate	pattern-direct	stdlib/encoding/encoding.xr	128	import->module-export
tests/diff/cases/semantics/stdlib/encoding_property_direct.xr	64	Utf16Error	MissingLowSurrogate	pattern-direct	stdlib/encoding/encoding.xr	129	import->module-export
tests/diff/cases/semantics/stdlib/encoding_property_direct.xr	65	Utf16Error	InvalidLowSurrogate	pattern-direct	stdlib/encoding/encoding.xr	130	import->module-export
tests/diff/cases/semantics/stdlib/http_error_nested_enum_payload_direct.xr	9	HttpError	UnsupportedVersion	pattern-catch	stdlib/http/http.xr	1249	import->module-export
tests/diff/cases/semantics/stdlib/url_core_direct.xr	36	UrlError	InvalidPercentEncoding	pattern-direct	stdlib/url/url.xr	10	import->module-export
tests/diff/cases/semantics/stdlib/xml_pure_module_direct.xr	6	XmlNode	Document	pattern-direct	stdlib/xml/xml.xr	42	import->module-export
tests/diff/cases/semantics/stdlib/xml_pure_module_direct.xr	7	XmlNode	Element	pattern-direct	stdlib/xml/xml.xr	43	import->module-export
tests/diff/cases/semantics/stdlib/xml_pure_module_direct.xr	8	XmlNode	Text	pattern-direct	stdlib/xml/xml.xr	44	import->module-export
tests/diff/cases/semantics/stdlib/xml_pure_module_direct.xr	9	XmlNode	Comment	pattern-direct	stdlib/xml/xml.xr	45	import->module-export
tests/diff/cases/semantics/stdlib/xml_pure_module_direct.xr	10	XmlNode	CData	pattern-direct	stdlib/xml/xml.xr	46	import->module-export
tests/diff/cases/semantics/stdlib/xml_pure_module_direct.xr	11	XmlNode	ProcessingInstruction	pattern-direct	stdlib/xml/xml.xr	47	import->module-export
tests/diff/cases/semantics/stdlib/yaml_pure_module_direct.xr	10	YamlValue	Boolean	pattern-direct	stdlib/yaml/yaml.xr	98	import->module-export
tests/diff/cases/semantics/stdlib/yaml_pure_module_direct.xr	11	YamlValue	Integer	pattern-direct	stdlib/yaml/yaml.xr	99	import->module-export
tests/diff/cases/semantics/stdlib/yaml_pure_module_direct.xr	12	YamlValue	Float	pattern-direct	stdlib/yaml/yaml.xr	100	import->module-export
tests/diff/cases/semantics/stdlib/yaml_pure_module_direct.xr	13	YamlValue	String	pattern-direct	stdlib/yaml/yaml.xr	101	import->module-export
tests/diff/cases/semantics/stdlib/yaml_pure_module_direct.xr	14	YamlValue	Binary	pattern-direct	stdlib/yaml/yaml.xr	102	import->module-export
tests/diff/cases/semantics/stdlib/yaml_pure_module_direct.xr	15	YamlValue	Sequence	pattern-direct	stdlib/yaml/yaml.xr	103	import->module-export
tests/diff/cases/semantics/stdlib/yaml_pure_module_direct.xr	16	YamlValue	Mapping	pattern-direct	stdlib/yaml/yaml.xr	104	import->module-export
tests/diff/cases/semantics/stdlib/yaml_pure_module_direct.xr	17	YamlValue	Tagged	pattern-direct	stdlib/yaml/yaml.xr	105	import->module-export
tests/diff/cases/semantics/stdlib/yaml_pure_module_direct.xr	18	YamlValue	Alias	pattern-direct	stdlib/yaml/yaml.xr	106	import->module-export
tests/fixtures/owned_transfer_lib.xr	3	Recv	Value	pattern-direct	stdlib/types/channel.xr	4	builtin-symbol
tests/fuzz/corpus/parser/08_coroutines.xr	28	Recv	Value	pattern-direct	stdlib/types/channel.xr	4	builtin-symbol
tests/fuzz/corpus/parser/13_real_world.xr	97	Recv	Value	pattern-direct	stdlib/types/channel.xr	4	builtin-symbol
tests/fuzz/corpus/parser/14_multi_value.xr	26	Recv	Value	pattern-direct	stdlib/types/channel.xr	4	builtin-symbol
tests/network/ws_concurrent_test.xr	138	Recv	Value	pattern-direct	stdlib/types/channel.xr	4	builtin-symbol
tests/regex/absolute/v1/programs/matching_core.xr	38	RegexError	InvalidPattern	pattern-direct	stdlib/regex/regex.xr	1743	import->module-export
tests/regression/08_error_handling/0830_throw_catch_value_return.xr	87	AppErr	NotFound	pattern-direct	tests/regression/08_error_handling/0830_throw_catch_value_return.xr	4	same-module
tests/regression/09_advanced/0901_adt_enum.xr	26	Shape	Circle	pattern-direct	tests/regression/09_advanced/0901_adt_enum.xr	12	same-module
tests/regression/09_advanced/0901_adt_enum.xr	27	Shape	Square	pattern-direct	tests/regression/09_advanced/0901_adt_enum.xr	13	same-module
tests/regression/09_advanced/0901_adt_enum.xr	35	Shape	Circle	pattern-direct	tests/regression/09_advanced/0901_adt_enum.xr	12	same-module
tests/regression/09_advanced/0901_adt_enum.xr	75	Shape	Circle	pattern-direct	tests/regression/09_advanced/0901_adt_enum.xr	12	same-module
tests/regression/09_advanced/0901_adt_enum.xr	91	Tree	Leaf	pattern-direct	tests/regression/09_advanced/0901_adt_enum.xr	19	same-module
tests/regression/09_advanced/0901_adt_enum.xr	92	Tree	Branch	pattern-direct	tests/regression/09_advanced/0901_adt_enum.xr	20	same-module
tests/regression/09_advanced/0901_adt_enum.xr	98	Tree	Leaf	pattern-direct	tests/regression/09_advanced/0901_adt_enum.xr	19	same-module
tests/regression/09_advanced/0901_adt_enum.xr	99	Tree	Branch	pattern-direct	tests/regression/09_advanced/0901_adt_enum.xr	20	same-module
tests/regression/09_advanced/0915_shared_for_go.xr	48	Recv	Value	pattern-direct	stdlib/types/channel.xr	4	builtin-symbol
tests/regression/09_advanced/0950_exception.xr	54	AppErr	Msg	pattern-direct	tests/regression/09_advanced/0950_exception.xr	26	same-module
tests/regression/09_advanced/0950_exception.xr	75	AppErr	Msg	pattern-direct	tests/regression/09_advanced/0950_exception.xr	26	same-module
tests/regression/09_advanced/0950_exception.xr	88	AppErr	Msg	pattern-direct	tests/regression/09_advanced/0950_exception.xr	26	same-module
tests/regression/09_advanced/0950_exception.xr	100	AppErr	Msg	pattern-direct	tests/regression/09_advanced/0950_exception.xr	26	same-module
tests/regression/09_advanced/0950_exception.xr	103	AppErr	Msg	pattern-direct	tests/regression/09_advanced/0950_exception.xr	26	same-module
tests/regression/09_advanced/0950_exception.xr	115	AppErr	Msg	pattern-direct	tests/regression/09_advanced/0950_exception.xr	26	same-module
tests/regression/09_advanced/0950_exception.xr	132	AppErr	Msg	pattern-direct	tests/regression/09_advanced/0950_exception.xr	26	same-module
tests/regression/09_advanced/0950_exception.xr	136	AppErr	Msg	pattern-direct	tests/regression/09_advanced/0950_exception.xr	26	same-module
tests/regression/09_advanced/0950_exception.xr	140	AppErr	Msg	pattern-direct	tests/regression/09_advanced/0950_exception.xr	26	same-module
tests/regression/09_advanced/0950_exception.xr	189	AppErr	Msg	pattern-direct	tests/regression/09_advanced/0950_exception.xr	26	same-module
tests/regression/09_advanced/0952_exception_constructor.xr	14	TestErr	Msg	pattern-direct	tests/regression/09_advanced/0952_exception_constructor.xr	6	same-module
tests/regression/09_advanced/0952_exception_constructor.xr	23	TestErr	Wrapped	pattern-direct	tests/regression/09_advanced/0952_exception_constructor.xr	7	same-module
tests/regression/09_advanced/0952_exception_constructor.xr	36	TestErr	Wrapped	pattern-direct	tests/regression/09_advanced/0952_exception_constructor.xr	7	same-module
tests/regression/09_advanced/0952_exception_constructor.xr	39	TestErr	Msg	pattern-direct	tests/regression/09_advanced/0952_exception_constructor.xr	6	same-module
tests/regression/09_advanced/0952_exception_constructor.xr	60	TestErr	Msg	pattern-direct	tests/regression/09_advanced/0952_exception_constructor.xr	6	same-module
tests/regression/09_advanced/0952_exception_constructor.xr	73	TestErr	Wrapped	pattern-direct	tests/regression/09_advanced/0952_exception_constructor.xr	7	same-module
tests/regression/09_advanced/0952_exception_constructor.xr	102	TestErr	Msg	pattern-direct	tests/regression/09_advanced/0952_exception_constructor.xr	6	same-module
tests/regression/09_advanced/0953_typed_multi_catch.xr	16	CatchErr	Msg	pattern-direct	tests/regression/09_advanced/0953_typed_multi_catch.xr	6	same-module
tests/regression/09_advanced/0953_typed_multi_catch.xr	28	CatchErr	Msg	pattern-direct	tests/regression/09_advanced/0953_typed_multi_catch.xr	6	same-module
tests/regression/09_advanced/0953_typed_multi_catch.xr	43	CatchErr	Msg	pattern-direct	tests/regression/09_advanced/0953_typed_multi_catch.xr	6	same-module
tests/regression/09_advanced/0953_typed_multi_catch.xr	58	CatchErr	Msg	pattern-direct	tests/regression/09_advanced/0953_typed_multi_catch.xr	6	same-module
tests/regression/09_advanced/0953_typed_multi_catch.xr	87	CatchErr	Msg	pattern-direct	tests/regression/09_advanced/0953_typed_multi_catch.xr	6	same-module
