tree	path	start_codepoint	end_codepoint	line	receiver	variant	role	disposition	declaration_path	declaration_line	enum	resolution	review	evidence	source_sha256
0f5b4f634bfefb7ad3e8e1494ce2995ae52df976	stdlib/http/http.xr	42390	42423	1304	HttpError	InvalidHeaderName	constructor	ACCEPT	stdlib/http/http.xr	1242	HttpError	same-module	reviewed	payload declaration stdlib/http/http.xr:1242	93f63164ae35ef21f2efdb107b8e449434c08b5fc0a8f7bd570800a068221923
0f5b4f634bfefb7ad3e8e1494ce2995ae52df976	stdlib/http/http.xr	42473	42508	1305	HttpError	InvalidHeaderValue	constructor	ACCEPT	stdlib/http/http.xr	1243	HttpError	same-module	reviewed	payload declaration stdlib/http/http.xr:1243	14250b63d1a8da5939d78c365a34f828069ed6309431d66ae93d05b2706b7424
0f5b4f634bfefb7ad3e8e1494ce2995ae52df976	stdlib/http/http.xr	42664	42697	1311	HttpError	InvalidHeaderName	constructor	ACCEPT	stdlib/http/http.xr	1242	HttpError	same-module	reviewed	payload declaration stdlib/http/http.xr:1242	93f63164ae35ef21f2efdb107b8e449434c08b5fc0a8f7bd570800a068221923
0f5b4f634bfefb7ad3e8e1494ce2995ae52df976	stdlib/http/http.xr	42747	42782	1312	HttpError	InvalidHeaderValue	constructor	ACCEPT	stdlib/http/http.xr	1243	HttpError	same-module	reviewed	payload declaration stdlib/http/http.xr:1243	14250b63d1a8da5939d78c365a34f828069ed6309431d66ae93d05b2706b7424
0f5b4f634bfefb7ad3e8e1494ce2995ae52df976	stdlib/http/http.xr	67185	67237	2111	HttpError	ConnectionFailed	constructor	ACCEPT	stdlib/http/http.xr	1246	HttpError	same-module	reviewed	payload declaration stdlib/http/http.xr:1246	8ba42deae808d0e57dfb2694d4457c69692fa70d42e15bd31f609c02781f5eec
0f5b4f634bfefb7ad3e8e1494ce2995ae52df976	stdlib/http/http.xr	67695	67742	2128	HttpError	ProtocolError	constructor	ACCEPT	stdlib/http/http.xr	1247	HttpError	same-module	reviewed	payload declaration stdlib/http/http.xr:1247	520be16cb89a7e765a0d47d7da333c8f1038de55b68d85dec05e9d1773f1ff35
0f5b4f634bfefb7ad3e8e1494ce2995ae52df976	stdlib/http/http.xr	68164	68207	2143	HttpError	ProtocolError	constructor	ACCEPT	stdlib/http/http.xr	1247	HttpError	same-module	reviewed	payload declaration stdlib/http/http.xr:1247	c9b51ce85b187b750a5a5fd7986049c0d38b8f545db179c93c850e47311aac95
0f5b4f634bfefb7ad3e8e1494ce2995ae52df976	stdlib/http/http.xr	68633	68680	2156	HttpError	UnsupportedVersion	constructor	ACCEPT	stdlib/http/http.xr	1249	HttpError	same-module	reviewed	payload declaration stdlib/http/http.xr:1249	086191395e671c5e5c369b17588ad2b290741788edc272bd5b58306d58cddbf4
0f5b4f634bfefb7ad3e8e1494ce2995ae52df976	stdlib/http/http.xr	68721	68769	2158	HttpError	ProtocolError	constructor	ACCEPT	stdlib/http/http.xr	1247	HttpError	same-module	reviewed	payload declaration stdlib/http/http.xr:1247	bd4d22072ba99a5c730bc50f495e06e33c7f39b21ed68e8e1f4fd6606f6728c3
0f5b4f634bfefb7ad3e8e1494ce2995ae52df976	stdlib/http/http.xr	70288	70320	2202	Http2Error	ProtocolError	pattern-direct	ACCEPT	stdlib/http2/http2.xr	107	Http2Error	import->module-export	reviewed	payload declaration stdlib/http2/http2.xr:107	ab77164369d3ed5410b4ddda338d518fb7bd51cdcfafff3a778813b1b4f0819e
0f5b4f634bfefb7ad3e8e1494ce2995ae52df976	stdlib/http/http.xr	70333	70364	2202	HttpError	ProtocolError	constructor	ACCEPT	stdlib/http/http.xr	1247	HttpError	same-module	reviewed	payload declaration stdlib/http/http.xr:1247	7307d672ac736e4c27bed5c92c0a1bb5ae3f0014ce854b0d2d744d290405a32d
0f5b4f634bfefb7ad3e8e1494ce2995ae52df976	stdlib/http/http.xr	70375	70406	2203	Http2Error	FramingError	pattern-direct	ACCEPT	stdlib/http2/http2.xr	112	Http2Error	import->module-export	reviewed	payload declaration stdlib/http2/http2.xr:112	cf5b6c4903470224c2b362459d1d691e7d8f3988672f63b387aab1a2ed5d4d5b
0f5b4f634bfefb7ad3e8e1494ce2995ae52df976	stdlib/http/http.xr	70419	70450	2203	HttpError	ProtocolError	constructor	ACCEPT	stdlib/http/http.xr	1247	HttpError	same-module	reviewed	payload declaration stdlib/http/http.xr:1247	7307d672ac736e4c27bed5c92c0a1bb5ae3f0014ce854b0d2d744d290405a32d
